Arbejdes aktivt på,I program,"Programpunkt er klar, med deltagere",Titel,Programpunkts-beskrivelse,Kolonne 1,Begrænsninger,Ansvarlig,Deltagere,Sprog,Kolonne 3,Kolonne 4,Kolonne 5,Kolonne 6,Kolonne 7,Kolonne 8,Kolonne 9,Kolonne 10,Kolonne 11,Kolonne 12,Kolonne 13,Kolonne 14,Kolonne 15,Kolonne 16,Kolonne 17,Kolonne 18,Kolonne 19,Kolonne 20,Kolonne 21,Kolonne 22,Kolonne 23,Kolonne 24
TRUE,TRUE,TRUE,Interview with Sarah Pinsker,"Sarah Pinsker is the author of over sixty works of short fiction, one novella, two novels, and two collections. Her work has won four Nebula Awards (Best Novel, A Song For A New Day; Best Novelette, ""Our Lady of the Open Road,"" Best Novelette, ""Two Truths And A Lie,"" Best Short Story, ""Where Oaken Hearts Do Gather,""), two Hugo Awards (""Two Truths And a Lie"" and ""Where Oaken Hearts Do Gather""), the Philip K Dick Award, the Locus Award, the Eugie Foster Award, and the Theodore Sturgeon Award, and been nominated for numerous Nebula, Hugo, Locus, and World Fantasy Awards. Her fiction has been translated into almost a dozen languages and published in magazines including Asimov's, Strange Horizons, Fantasy & Science Fiction, and Uncanny and in many anthologies and year's bests. 
Sarah's first collection, the Philip K Dick Award winning Sooner or Later Everything Falls Into the Sea: Stories, was published by Small Beer Press in 2019, and her first novel, A Song For A New Day, was published by Penguin/Random House/Berkley in  2019. It was followed by We Are Satellites, published in 2021. Her second collection, Lost Places, was published by Small Beer Press in  2023. Tordotcom novella Haunt Sweet Home appeared in September 2024.
She is also a singer/songwriter with four albums on various independent labels (the third with her rock band, the Stalking Horses).",Interview,,Sidsel,"Sarah Pinsker, Niels Dalgaard",English,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,Interview with Eugenia Triantafyllou,"Eugenia Triantafyllou is a Greek author and artist with a flair for dark things. Her work has won the British Fantasy and the Shirley Jackson Awards and has been nominated for the Hugo, Ignyte, Locus, Nebula, and World Fantasy Awards. She is a graduate of Clarion West Writers Workshop. You can find her stories in Reactor, Uncanny, Strange Horizons, Apex, and other venues.
",Interview,Lørdag,Tobias,"Eugenia Triantafyllou, Tobias Backman",English,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,Interview with Chris Beckett,"Chris Beckett was a social worker prior to becoming a science fiction writer. He started writing short fiction in the 1990s. In 2004 he published his first novel, The Holy Machine, with themes of religion, science and rationality. His next two novels, Marcher and Dark Eden were both based on earlier short stories. The latter, a novel set on a far away colony planet, won the Arthur C. Clarke award for best science fiction novel of 2012. Beckett contiued to write short fiction while working on his later novels. His ninth novel Tomorrow is from 2021, about a man trying to write the ultimate novel.",Interview,,Flemming,"Chris Beckett, Flemming R.P. Rasch",English,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,"Gross Love - love in horror
","What does love look like in the genre of horror? Does it aid the good, does it conquer the bad, or is it a corrupting force? Is a mother's love as monstrous as in the fairytales?  Is there something hidden in the dark recesses of a woman's love for her offspring? And what is romance, if not literally all consuming? And a little gross, sticky and bloody? We will explore these questions in this lovely and horrific panel.",Panel,,Asta,"Eugenia Triantafyllou, Asta Jersø, Mariane Mide",English,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,"Hvorfor ♥️ vi Tamora Pierce?
","Panelet stiller skarpt på fantasy-YA-forfatteren Tamora Pierce og hvorfor hendes bøger stadig betyder så meget for så mange fantasy-læsere. Vi taler om, hvad der gør hendes historier særlige, hvorfor vi elskede dem som unge, og hvorfor vi bliver ved med at vende tilbage til dem som voksne. Hvorfor har Tamora Pierce fået en helt særlig plads hos nordiske læsere? Samtalen fokuserer også på den særlige rolle, som kærlighed og relationer spiller i hendes bøger.",Panel,Lørdag efter 11,Sidsel,"Sarah Ella Stoltze, Mariane Mide, Sidsel Pedersen, Lea Thume, Sidsel Sander Mittet.",Dansk,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,On Writing Romantasy,,Panel,,Julie,"CA Wolters, Emile Sodyte, Julie Eriksen Strøm",,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,Vølvens Vej - Interview med Anne-Marie Vedsø Olsen,,Interview,Lørdag efter 13,Julie,"Anne Marie Vedsø-Olesen, Julie Eriksen Strøm",Dansk,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,At oversætte Fantatisk litteratur,"Jakob Levinsen og Stig W Jørgensen har oversat en række bøger med fantastisk islæt, lige fra Ringenes Herre til Dune. ",Interview,,Jesper,"Jakob Levinsen, Stig W Jørgensen",Dansk,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,Speeddate en bog,Kom og anbefal en bog til en anden og de anbefaler så en bog til dig. To og to får I talt om en bog som I vil anbefale til hinanden. Fløjten lyder og alle skifter til en anden partner.,Publikumsaktivitet,,Asta,,"Dansk, English",,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,Kaffeeklatsch with Chris Beckett,"Come and meet Chris Beckett, and have a cup of coffee with him. A kaffeeklatsch is an informal conversation between a guest of honour and a group of people for an hour or so. It does not require any perparation.",Publikumsaktivitet,,Asta,Chris Beckett,English,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,Kaffeeklatsch with Sarah Pinsker,"Come and meet Sarah Pinkser, and have a cup of coffee with her. A kaffeeklatsch is an informal conversation between a guest of honour and a group of people for an hour or so. It does not require any preparation, but signup is needed.",,,,Sarah Pinsker,English,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,FALSE,"Kaffeeklatsch with Eugenia Triantafyllou
","Come and meet Eugenia Triantafyllou, and have a cup of coffee with her. A kaffeeklatsch is an informal conversation between a guest of honour and a group of people for an hour or so. It does not require any preparation, but signup is needed.",,,,Eugenia Triantafyllou,English,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,FALSE,Møde mellem fans - mød en ny ven,Hvis du er ny så kom her og mød de andre nye og få en snak med dem om alt mellem himmel og jord.,Publikumsaktivitet,,Sidsel,,"Dansk, English",,,,,,,,,,,,,,,,,,,,,,
TRUE,FALSE,FALSE,"Sæt dig her, hvis du vil tale med nogen du ikke kender!",,Publikumsaktivitet,,Sidsel,"Udnævn et bord i cafeen til et sted man kan sætte sig for at snakke med fremmede. Alle*) borde i cafeen har et emne, en genre eller noget fantatisk fra et samtalekort eller lignende. *) for alle læs nogen. ",,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,Lunarpunk,"What is Lunar Punk? Lunar Punk is an ecofeminist subgenre of science fiction. It is based on cyclical narrative forms – the understanding that all life on Earth is intertwined, and should be recognized for their importance in the Big Web of Being. Where Solarpunk romanticizes solar power and solar energy, Lunar Punk romanticizes the power of imagination and imaginary energy (lunargy). Our own inner lunatic ability (lunability) to shine our light in the dark, to think up other realities and future possibilities, and share them with each other, until they become our new reality. Shekufe Heiberg will go deep into the speculative and utopian world of Lunar Punk and explain how it started and where it’s going.",Foredrag,søndag,Jesper,Shekufe Heiberg,English,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,Vi🫀Horror,"Vi elsker horror, og vi elsker at snakke om det. Kom til et hyggeligt panel, hvor 3 horror entusiaster prøver at overholde tidsplanen, mens de ævler løs om den bedste genre i verden. (Vi kan ikke love, at det ikke bliver lidt klamt)",Panel,,Asta / Mariane,"Asta Jersø, Mariane Mide, Karsten Brandt-Knudsen",Dansk,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,We ❤️ Fantasy,"Vi elsker fantasy, men hvorfor? Fantasy er mange ting for mange mennesker, lige fra folkeeventyr til urban fantasy og grimdark, fra Tolkien til HC Andersen. Fra Gollum til Peter Pan, der har mere til fælles end man skulle tro. I dette publikumsinddragense panel vil tale om hvad det er der tiltrækker os ved genren. De gode oplevelser der har fået os til elske den. Chancen for at stikke af, eller blive vågen, for at blive transporteret til en helt anden verden, som dog har kostskoler.",Panel,Lørdag,Jesper/Tobias,"Jesper Rugård, Tobias Backman, Sidsel Pedersen",English,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,We ❤️ Science fiction,"Why do creators and consumers of fiction love the science fiction genre so much? Is it the spaceships, the robots, the capitalistic hellscapes or the visions for the future? The panel explores our fascination with the science fiction genre.",Panel,,Flemming/Tue,"Sarah Pinksker, Tue Sørensen, Flemming R.P. Rasch",English,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,Mundane Science Fiction,"Når man tænker science-fiction tænker man ofte rumskibe, aliens og kampklare helte. Men science fiction er meget mere end dette. Der er en hel verden derude af ikke-heroiske hovedpersoner og værker med sat i den nære fremtid. Tendens har rødder helt tilbage til dystopien og utopien, men som rigtig bliver skubbet i gang med Geoff Ryman introduktion af genren ’mundane science-fiction’ i 2004. Det er denne genre som panelet vil introducere, diskutere og udfordre med udgangspunkt i deltagernes egne værker og/eller interesse for genren.",Panel,,Maria,"Jasmin Hansen, Jane Mondrup, Niels Dalgaard, Jesper Rugård",Dansk,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,"Adaptations - from one medium to another  
",Hvordan fanger man det originale værk og hvad vælger man fra og til. Kan det blive bedre af at komme længere væk?,Panel,,Maria/Asta,"Tue Sørensen, Maria O. Larsen, Asta Jersø",English,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,"Ask me anything - with the guests of honour
","Anything you always wanted to ask an author about, but didn't have the chance or the courage to ask. Now is the chance, you can literally ask the three distinguished guests anything and hope you get a good answer.",Panel,,Tobias,"Sarah Pinsker, Eugenia Triantafyllou, Chris Beckett
",English,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,Workshop: Reading Journals,"How to write a reading journal. Sidsel Petersen present her unique approach to reading journaling. Get started with your own reading journal or show off your journal to others. Inspiration, tips and stickers!
Bring a notebook and a pen",Workshop,,Sidsel,Sidsel Pedersen,English,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,"Octavia E. Butler: Love, Power, Sex, and Addiction","A discussion of the complex interrelation between different kinds of connection and craving in stories written by the American SFF-author Octavia E. Butler, a master of the troubling and uncomfortable.


Bios:
Pernille Lykke står bag profilen Lykkes Læserier på Instagram, hvor hun anmelder og blogger om bøger. Hendes hjerte banker i særlig grad for den spekulative fiktion og genreblandinger med spekulative elementer, men hun læser og anmelder alle genrer og formater.

Claire Eliza Barlett is a writer of fantasy and science fiction for both children and Adults. As a young adult she traveled and studied history and archaeology, and she uses her experiences and learning to write history-inspired SFF. Her most recent novel is ""The Hollow Age,"" which can be found here: https://authorclaire.com/as-cathryn-bankroft/

Jane Mondrup writes various kinds of speculative fiction, for adults as well as children. So far, she has published the alternate history novel Zeitgeist, the first contact story Zoi, and the children’s novel Vattes vandring plus a few short stories. Apart from writing, she’s in the con committee for Vilde Universer in Aarhus
",Panel,,jane,"Jane Mondrup, Claire Bartlett, Pernille Lykke",English,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,The Arthurian Myths,"King Arthur continues to have a strong presence in Western fantasy through films, books and comics. Why are we still drawn to a story that was written down in the Middle Ages? Join a panel discussion where three Arthurian experts discuss our enduring fascination with the ancient tale.",Panel,lørdag,Sidsel,"Valdemar Lenschow, Agnethe Poulsen, Cecilie Buur Larsen",English,,,,,,,,,,,,,,,,,,,,,,
